Date,Teams_Result,JerseyNo,Player,Position,Goals,Penalties,YellowCards,RedCards,IsSubstitute,Temperature,Humidity,Precipitation,WindSpeed,Pressure,Position_Encoded,Match_Result,Match_Result_Encoded,Player_Avg_Goals,Substitute_Goals_Interaction,Weather_Condition
2021-12-04,Watford 1:3 Manchester City,25,Fernandinho,Defender/Midfielder,0,0,0,0,1,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,1,Win,2,0.1111111111111111,0,0.006427065658902789
2021-12-14,Manchester City 7:0 Leeds United,25,Fernandinho,Defender/Midfielder,0,0,0,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,1,Win,2,0.1,0,0.006427065658902789
2021-12-19,Newcastle United 0:4 Manchester City,25,Fernandinho,Defender/Midfielder,1,0,1,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,1,Win,2,0.09090909090909091,0,0.006427065658902789
2021-12-19,Newcastle United 0:4 Manchester City,25,Fernandinho,Defender/Midfielder,0,0,0,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,1,Win,2,0.16666666666666666,0,0.006427065658902789
2021-12-29,Brentford 0:1 Manchester City,25,Fernandinho,Defender/Midfielder,0,0,0,0,0,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,1,Win,2,0.15384615384615385,0,0.006427065658902789
2021-12-29,Brentford 0:1 Manchester City,25,Fernandinho,Defender/Midfielder,0,0,0,0,1,0.029629629629629672,0.028213166144200663,0.7692307692307693,0.42680180180180194,0.0998893193137797,1,Win,2,0.14285714285714285,0,0.006427065658902789
2022-01-01,Arsenal 1:2 Manchester City,25,Fernandinho,Defender/Midfielder,0,0,1,0,0,0.0,0.021943573667711602,1.0,0.16610360360360363,0.04095185390149417,1,Win,2,0.13333333333333333,0,0.0
2022-01-01,Arsenal 1:2 Manchester City,25,Fernandinho,Defender/Midfielder,0,0,1,0,0,0.0,0.021943573667711602,1.0,0.16610360360360363,0.04095185390149417,1,Win,2,0.125,0,0.0
2022-01-01,Arsenal 1:2 Manchester City,25,Fernandinho,Defender/Midfielder,0,0,0,0,1,0.0,0.021943573667711602,1.0,0.16610360360360363,0.04095185390149417,1,Win,2,0.11764705882352941,0,0.0
2022-01-15,Manchester City 1:0 Chelsea,25,Fernandinho,Defender/Midfielder,0,0,1,0,0,0.0,0.021943573667711602,1.0,0.16610360360360363,0.04095185390149417,1,Win,2,0.1111111111111111,0,0.0
2022-01-15,Manchester City 1:0 Chelsea,25,Fernandinho,Defender/Midfielder,0,0,0,0,0,0.0,0.021943573667711602,1.0,0.16610360360360363,0.04095185390149417,1,Win,2,0.10526315789473684,0,0.0
2022-01-15,Manchester City 1:0 Chelsea,25,Fernandinho,Defender/Midfielder,0,0,0,0,1,0.0,0.021943573667711602,1.0,0.16610360360360363,0.04095185390149417,1,Win,2,0.1,0,0.0
2022-01-22,Southampton 1:1 Manchester City,25,Fernandinho,Defender/Midfielder,0,0,0,0,1,0.0,0.021943573667711602,1.0,0.16610360360360363,0.04095185390149417,1,Draw,0,0.09523809523809523,0,0.0
2022-02-12,Norwich City 0:4 Manchester City,25,Fernandinho,Defender/Midfielder,0,0,0,0,1,0.17160493827160483,0.0,0.641025641025641,0.8139076576576579,0.31322634200332045,1,Win,2,0.09090909090909091,0,0.01591127221622364
2022-03-14,Crystal Palace 0:0 Manchester City,25,Fernandinho,Defender/Midfielder,0,0,0,0,1,0.22716049382716041,0.0595611285266458,0.6153846153846154,0.4408783783783784,0.5196458218040951,1,Draw,0,0.08695652173913043,0,0.049874029513085505
